ID,Tick,Type,Carbon,Electricity
28,3,NUCLEAR,267862.2,151.47624
5,4,WIND,6539.2695,23.860136
0,4,WIND,6277.0415,22.371792
19,4,WIND,7462.057,24.700108
22,4,WIND,6749.568,23.550034
23,4,WIND,6434.755,23.367205
24,4,WIND,6550.8,23.451092
10,4,WIND,7672.36,25.379017
4,4,WIND,6298.7544,23.379398
3,4,WIND,7852.4297,25.271923
15,4,WIND,7666.6606,25.540228
28,4,WIND,7471.421,24.365429
26,4,WIND,6664.121,23.230957
20,4,WIND,7113.765,24.756813
21,4,WIND,6364.914,23.306051
2,4,WIND,7949.9355,25.02797
9,4,WIND,6727.553,23.4434
1,4,WIND,6740.8784,22.934078
17,4,WIND,7055.4863,24.617933
12,4,WIND,5993.2485,22.363504
14,4,WIND,6939.98,23.551096
27,4,WIND,7050.296,23.382
29,4,WIND,7075.251,24.024067
18,4,WIND,6392.752,23.330624
25,4,WIND,7726.5933,24.347055
7,4,COAL,4750975.0,73.965324
8,4,COAL,3718055.0,67.39967
6,4,WIND,6620.162,23.528091
16,4,WIND,6111.5796,22.333403
11,4,WIND,5487.323,23.06256
13,4,WIND,6351.1216,23.299572
5,4,WIND,6847.5083,24.413872
0,4,WIND,6739.844,24.35156
19,4,WIND,7264.6665,25.388662
22,4,WIND,6761.327,24.054058
23,4,WIND,6544.388,23.62885
24,4,WIND,6651.1177,23.760445
10,4,WIND,8504.135,25.793749
4,4,WIND,7245.198,24.17215
3,4,WIND,7460.358,25.35847
15,4,COAL,2955860.5,62.21297
28,4,WIND,7200.0977,24.865278
26,4,WIND,6187.7803,23.341574
20,4,WIND,8137.548,25.284128
21,4,WIND,7221.2944,24.356125
2,4,WIND,8460.607,26.221386
9,4,WIND,6750.979,23.709698
1,4,WIND,7864.3823,25.29688
17,4,WIND,7506.157,24.993223
12,4,WIND,6832.2056,23.504208
14,4,WIND,8341.565,25.603962
27,4,WIND,6721.631,23.983292
29,4,WIND,6606.4155,24.327658
18,4,WIND,7348.921,25.616453
25,4,WIND,8098.2017,25.126965
7,4,GAS,1407845.2,52.802216
8,4,GAS,1068581.5,46.539146
6,4,WIND,7340.8423,24.346632
16,4,WIND,7061.204,24.223608
11,4,WIND,6050.552,23.06299
13,4,WIND,6640.559,24.610497
5,4,WIND,7161.377,24.538786
0,4,WIND,6747.9414,24.51953
19,4,WIND,9039.156,26.878105
22,4,WIND,7456.8604,25.175554
23,4,WIND,6919.2275,23.697832
24,4,WIND,7432.5376,24.727228
10,4,NUCLEAR,272174.03,146.9814
4,4,WIND,7883.7144,24.91258
3,4,WIND,7808.844,25.977697
15,4,COAL,3977675.5,68.97142
28,4,WIND,8362.269,26.836536
26,4,WIND,7623.435,24.419252
20,4,WIND,8145.136,25.94775
21,4,NUCLEAR,275168.06,147.56473
2,4,COAL,3563987.2,67.40553
9,4,WIND,6607.2324,24.09772
1,4,WIND,7937.132,25.69948
17,4,WIND,7743.1562,25.062355
12,4,WIND,8380.098,25.931793
14,4,COAL,3474188.5,64.700485
27,4,WIND,6625.0186,24.324398
29,4,WIND,7873.0234,25.33749
18,4,WIND,8989.295,27.195137
25,4,WIND,7759.4717,25.657131
7,4,NUCLEAR,294137.84,157.67159
8,4,GAS,1089644.2,47.95109
6,4,WIND,7764.456,24.815332
16,4,WIND,7833.9736,25.89207
11,4,WIND,7057.0776,24.900795
13,4,WIND,6642.711,24.935638
5,4,WIND,7604.572,24.897984
0,4,WIND,7392.471,24.579147
19,4,COAL,3230688.8,63.649548
22,4,WIND,8231.408,25.568089
23,4,WIND,6406.3584,24.764517
24,4,WIND,6834.35,25.05015
10,4,NUCLEAR,259510.06,147.92244
4,4,WIND,7716.7686,25.640383
3,4,COAL,3478000.0,65.1584
28,4,COAL,3516321.0,66.602455
26,4,WIND,7715.424,25.337355
20,4,GAS,969957.1,44.39914
21,4,NUCLEAR,297879.7,153.25835
2,4,GAS,1188633.9,51.428978
9,4,WIND,6845.974,24.395458
1,4,WIND,8627.352,26.562513
17,4,WIND,7460.133,25.957298
12,4,WIND,7742.0806,25.94075
14,4,COAL,3759939.0,65.88937
27,4,WIND,7169.258,24.643574
29,4,WIND,7828.17,25.457787
18,4,GAS,965379.56,45.687218
25,4,WIND,8159.3716,26.669256
8,4,NUCLEAR,324814.12,159.66449
6,4,COAL,3887876.8,69.14297
16,4,WIND,9108.093,26.311579
11,4,WIND,7926.062,25.415773
13,4,WIND,7615.2935,25.766777
5,4,WIND,7344.646,24.999165
0,4,COAL,3763782.2,69.68195
19,4,COAL,4151363.8,69.3232
22,4,WIND,8428.468,26.046316
23,4,WIND,7027.2383,24.98512
24,4,WIND,7323.545,25.60806
4,4,GAS,1212553.1,50.03327
3,4,GAS,1179818.5,47.38894
28,4,GAS,1260402.1,51.22458
26,4,WIND,8722.708,26.272968
20,4,GAS,1030071.1,46.50764
2,4,NUCLEAR,271915.75,147.21257
9,4,WIND,7553.1367,25.050499
1,4,WIND,8887.8,27.214397
17,4,WIND,8391.698,26.174906
12,4,WIND,8619.991,26.404453
14,4,COAL,3737989.2,67.59133
27,4,WIND,8542.686,26.184864
29,4,WIND,8252.632,25.527035
18,4,GAS,1110735.6,48.067585
25,4,COAL,3711692.5,66.948204
6,4,COAL,4143087.2,70.14048
16,4,COAL,4506633.5,71.98824
11,4,WIND,7331.0107,25.548046
13,4,GAS,950013.1,45.552925
5,4,WIND,6525.3535,25.045378
0,4,COAL,4093258.2,69.6865
19,4,NUCLEAR,217302.83,133.34085
22,4,WIND,8150.4424,26.170916
23,4,WIND,8522.836,25.054527
24,4,WIND,7557.043,25.845814
4,4,GAS,1237966.0,50.634285
3,4,GAS,1314012.1,51.399117
28,4,GAS,1208184.8,51.760864
26,4,WIND,8573.484,27.36391
20,4,COAL,4553280.0,72.898415
9,4,WIND,7616.574,25.132559
1,4,COAL,3941350.5,70.17085
17,4,WIND,10035.17,27.900974
12,4,COAL,3649719.2,65.35566
27,4,COAL,3092017.0,61.65226
29,4,WIND,7741.7476,25.57192
18,4,GAS,1188166.5,48.494247
25,4,COAL,3389063.5,67.31382
6,4,COAL,4141573.5,72.900444
16,4,GAS,1056652.9,47.89805
11,4,COAL,3463620.0,64.980446
13,4,COAL,4402483.0,71.96445
5,4,WIND,7698.7783,25.407988
0,4,GAS,1200844.9,48.834393
22,4,WIND,8364.535,27.175673
23,4,WIND,7745.0674,25.055809
24,4,COAL,3225474.5,63.50254
4,4,GAS,1244684.1,51.113483
3,4,NUCLEAR,271769.5,149.8687
28,4,NUCLEAR,267862.2,151.47624
26,4,COAL,3731577.8,66.92546
20,4,GAS,1118607.6,48.77899
9,4,WIND,8287.776,26.143892
17,4,COAL,3180450.5,64.737335
12,4,COAL,3698910.2,69.69991
27,4,COAL,3936257.0,68.1327
29,4,WIND,8649.663,26.973661
18,4,GAS,1212059.5,49.92802
25,4,GAS,1138836.2,48.315716
6,4,GAS,1405867.9,51.967743
10,5,WIND,7672.36,25.379017
3,5,WIND,7852.4297,25.271923
0,5,WIND,6277.0415,22.371792
26,5,WIND,6664.121,23.230957
8,5,COAL,3718055.0,67.39967
